"name","comment","date","rating"
"Macarena","chato e me deu sono.pontos mil pelo cenário impecável","31 Jan 2024",3
"OlafBror","This is shit. Femisist agenda crap","31 Jan 2024",2
"ajcorry9","im kenough","20 Jul 2023",3
"cowwwboy","Idc if ken being my fav defeats the purpose of the movie he was the highlight","29 Sep 2023",2
"extendoblizz","margot robbie hot","30 Jan 2024",3
"fabiwis","los que la critican simplemente siento que no entendieron el mensaje de la película; las bromas que hacían que para algunos era “ridícula” para mi fueron justas y con sarcasmo. Me encanto esta película. Greta jamás decepciona.","31 Jan 2024",4
"bedbin","sinemada yanimdaki kiza cok sinir olmustum odaklanamadim bogazina yapisicaktim ama ryan gosling ayni ben ya","21 Jul 2023",3
"Kwisatz42","Turned this on for my dad after making him watch evil dead rise","31 Jan 2024",4
"Millie 🫧","i don’t have words. so good","21 Jul 2023",5
"Aitor Zamora","Am i kenough?","05 Jan 2024",3
"rhiarose","amazing movie, felt the womanhood in the cinema. 🥹 best 2023 film for me","31 Jan 2024",5
"Aitor Zamora","Am i kenough?","05 Jan 2024",3
"asminu","Filmi keşke ben çekseydim daha iyi çekerdim senaryo konu ölmüş böyle","31 Jan 2024",2
"ANOID7RZS","הראו לי את זה במגמת קולנוע והסרט יותר טוב ממה שציפיתי שהוא יהיה.כסרט ביקורתי זה נהדר - הביקורת עשויה בצורה טובה וברורה, ההגזמות וחילופי התפקידים בחברה נעשו בצורה מדהימה וברורה!לא אהבתי את החלק שכדי לנצח את הקנים הן היו צריכות להיות יותר גרועות מהם, זה היה נורא ילדותי אבל חוץ מזה סרט חמוד בטירוף(לא חושב שאני אחזור אליו בכנות, הוא לא מדבר אליי)","31 Jan 2024",4
"juno","the more i think about it the less i like it","31 Jan 2024",1
"paulitolosa","Hermosa película, muy linda para ver en familia pero me parece que a partir de los 15 años, ya que habla de algunos problemas un tanto complejos en la sociedad de hoy en día y esta trama quiere enseñarte sobre ello. El elenco hizo que sea lo que es, te reís y te emocionas todo el tiempo La ambientación excelente al igual que sus canciones, que si bien no todas son para agregar a tu Spotify, son muy pegadizas.","31 Jan 2024",4
"Cooper Vise","This shit is just a car commercial 👎🏻","31 Jan 2024",5
"thesalonicaa","Margot Robbie’s harrowing journey to the gynecologist","31 Jan 2024",1
"RudranshSharma","Didn't expect this from Greta, only good thing about this film was Ryan Gosling.","31 Jan 2024",3
"Ro","I’m too thick to know what was going on tbh.","31 Jan 2024",3
"sandraks","Pink af","",4
"derin","helt ok, ble litt rørt","31 Jan 2024",5
"Sparks","FEMINIZM oldugu icin 4 (birde margot bu filmi begenmeyenler kadın dusmanıdır baska da bir sey demiyorum","31 Jan 2024",NA
NA,"so manyyy barbies, i love the meaning to this movie and the speech. when barbie called the old lady beautiful, i cried, i enjoy that scene so much.",NA,NA
"miuᶻᵒⁿᵉ","MASSA🎉🎉","31 Jan 2024",5
"christinanu","loved the intro scene, still can’t stand girlboss feminism","31 Jan 2024",3
"susetty","the girl in me is happy.","31 Jan 2024",4
"K4i54r","8/10 banyak orang meremehkan film ini, tapi gua buktikan asumsi mereka salah krn gua terharu 3x nonton film ini ajg","31 Jan 2024",4
"gaylove","wow.....SIX MONTHS... took me six months to finally watch this movie and BOY DID I LOVE IT :D WLEKFLLKWEFFWE ken is just a me kinda guy like.. we all fall toget back up... KEN IS... KEN IS ME!! LIKE RELLLY KEN IS ME!!!! Love my barbie <3 I FUCKING LOVE YOU TOO MARGOTTTT. Making this really long because wow six months of.. being in the cold dark, love u isssa...... ffufufucking love u. - ken","31 Jan 2024",4
"youngmisrank","SHELOVED TO WATCH THE MOVIE I LOVED TO WATCH HER WATCHIT. iii LOVEEEMY KEN!!!!- barbie","31 Jan 2024",5
"honeydreams","I'd give more stars if I could.","21 Jul 2023",5
"DarkErycks","The only ones who don't like this movie or didn't understand it are the ones that contribute to the NEED of a movie that represents our actual society and the ones that are still blindly thinking that ""we're all equal, there's no need for this"" yes Lucinda there's need for movies like this and it's because of people like YOU.","31 Jan 2024",4
"Gunner","love everything about this movie.","31 Jan 2024",3
"sabrina","f men","21 Jul 2023",4
"lola ✰","A movie about existentialism wrapped in layers of jokes about what it was like playing with dolls as a child, the experience of growing from a child to an adult and basic feminism, sprinkled in with facts about barbie.","31 Jan 2024",5
"saundersfilms","Ken is totally right, without the patriarchy there is no progress. Hilarious movie and really fun, they did their research","31 Jan 2024",3
NA,"Very funny movie, women rock.",NA,NA
NA,"it’s comforting to know i relate to depression barbie… if only i had her as a kid",NA,NA
NA,"watched 3 types of women in films this day. WOMEN. WOMEN. WOMEN. I LOVE WOMEN. THEY'LL NEVER MAKE ME HATE YOU.",NA,NA
NA,"This is a pretty funny SNL sketch it's a shame it sometimes gets confused and thinks it's a real movie.",NA,NA
"m&m","“We mothers stand still so our daughters can look back to see how far they've come”","31 Jan 2024",5
"avrilmaijuin","seeing this line spoken while sitting next to my mom in a packed theater changed the trajectory of my life.","31 Jan 2024",1
"ChloBoFilms","idk how but it was worse the second time. i think it’s just so corny and try hard quirky that it’s so hard to sit through but it’s also so clear in its message that it’s so frustrating when thickskulled people like joe koy or whatever exist because yk as much as the movie sucked billie’s song makes me feel what the movie makes emotional sheep feel and that really unites me with womanhood and this otherwise stupid ass movie…","31 Jan 2024",5
"Ry4nG0sl1ng117","Bit of fun. Ironically, Ken is the best thing in it.","31 Jan 2024",4
"Catherine Taylor","This movie is not as good as Oppenheimer but its not the same style and realisatorSo..The people that play this little dumb war between Oppenheimer and Barbie are fucking stupid they both are very good and both have their own messageBarbie is more about who you are and who you want to be (theres also a feminist message but we've all heard about this)And of curse Ryan Gosling is the one that keep the movie alive if he wasn't here the movie would be badFor me, the main character is Ken and not barbie","31 Jan 2024",3
"Epicuruz","People are being too mean to America Ferrera, shes good and her nomination is fine.","31 Jan 2024",3
"Reid Haley-Rutherford","Se vió más por el meme que otra cosa pero me pareció entretenida. Pocos personajes me gustaron pero los escenarios y la estética compensaban.","30 Jan 2024",1
"megator","Enjoyed this so much more on the rewatch!","24 Jul 2023",5
"aly","Issa Rae is legit 10/10 in everything she’s in, why isn’t she in more movies? And why is each role such a minor character? And why are half of those roles brutally under-written? And why is The Lovebirds, a pretty silly movie which she’s perfect in, the only exception to the lack of screen time? And why is this like the 4th review I’ve brought this up in? I’ve had Kenough!","31 Jan 2024",5
"anniebanna","beginning sequences felt like disjointed made for tiktok clips smashed together. impeccable set and costume designs but overall the humour fell flat and the blatant Chevrolet commercial poorly disguised as a car chase scene solidified my disappointment with this movie.","31 Jan 2024",2
"LetterdBox","obv this movie is amazing bc like all of the messages i love it but also it is the hardest ive laughed at a movie in a long time","30 Jan 2024",5
"Aar🕳️n🔪","How do I get nominated for noble prize in horses","30 Jan 2024",NA
NA,"Il film in sé è un lavoro ben confezionato e piacevole, ma la sua natura di prodotto pubblicitario e le sue carenze sotto il punto di vista ideologico non possono che lasciare numerose perplessità sulla sua validità dal punto di vista culturale-artistico. La visione di femminismo adottata è troppo superficiale e tradisce costantemente i limiti di un femminismo liberal privo di considerazioni intersezionali e radicali (che, del resto, sarebbero difficilmente inseribili in un prodotto di questa natura). Questa superficialità si…",NA,NA
NA,"Ken outta Ken",NA,NA
"natalia_nava","i wanted to like this movie so much more than i did but it’s still a good fun movie","",3
"EpicGeri","szep volt, nagyon jol nezett ki. a film sem volt rossz","31 Jan 2024",3
"kevin830","Ok","31 Jan 2024",3
"nvansistine","I could gush about the performances and production design (all the vibes suggest this was a fun set to be on) but I walked away from the story going “yes, and?” This movie feels 15 years too late, addressing and trying to answer questions that bubbled up during what feels like an older era of feminism than the one we’re in now.","31 Jan 2024",3
"Jaxon","There are some truly beautiful and profound moments — America Ferrara’s speech hits for a reason and Barbie’s…","31 Jan 2024",5
"sofiacap001","Came for Ken stayed for reasons why barbies crisis about life and her place in this world (she's literally me)","31 Jan 2024",5
"Fayer_","penso che questo film possa cambiare la mente di tutti, a prescindere dal sesso.al contrario di quello che è stato detto questo film non lascia indietro nessuno, parla di tutti, e se vi fa paura avere sbattuta la realtà dei fatti in faccia vi prego guardatelo, almeno provate a superare questo limite.","31 Jan 2024",3
"wolfromantic","Una comedia bastante ligera, la vi en un parpadeo, tiene bastantes momentos divertidos. Uno de ellos es al principio cuando vemos cómo se comportan los Ken, una visión infantil y estereotipada de la masculinidad que es un reflejo con la forma en que las niñas juegan con esos muñecos. La música está bastante bien y va muy de la mano de la trama, un poco más y podría ser un musical. Los escenarios y vestuarios son lo mejor de la…","31 Jan 2024",4
"Adler","fui assistir esse filme e senti na alma oq é ser mãe e como é a vida delas, chorei muito","31 Jan 2024",3
"swolalee","They really nailed life being in plastic, it was fantastic.","31 Jan 2024",4
"Alma Garcia","This is empowerment🥹","30 Jan 2024",1
"zzjeis","Actually I’ll give one star for Ryan Goslings performance and the music. That’s it. What an insulting movie. This is SO REGRESSIVE.","31 Jan 2024",5
NA,"Me encanta como logro hacer que muchas mujeres se identifiquen con el mensaje, el vestuario y la música los amo visualmente es hermoso y las actuaciones me encantan",NA,NA
"giorgia777","i pianti","31 Jan 2024",5
"zyortza","this time I saw it with a Ken and it was funnier","30 Jan 2024",3
"jacksonbar","Fun but also has depth. Made me smile.","30 Jan 2024",5
"ian_films","Commentating throughout this entire film with friends on a discord call was an absolute blast even if I was an exact replica of the Ken being satirized in that one Godfather scene","30 Jan 2024",4
"Micaela Lopez","Also that montage at the end just hit me so hard the second time around but I can’t explain why it did..","31 Jan 2024",4
"Alejandro Palacios","La mejor de todas 😭✨","31 Jan 2024",4
"myahclements","Le encontré unos errores, pero sigue siendo maravillosa.","24 Jul 2023",4
"endorpnhi","How i love being a woman (true that i saw her hair like the branch of a tree, a willow dancing on air before covering me)","31 Jan 2024",3
"lukemfriley","watched it after the hype has cooled down a bit and realized, damn men really overreacted baaaaddd bad =)))","31 Jan 2024",2
"Mr. Bickel","nice and funny, ahahaha.ken was like hell yea men’s rule the world yeah barbie was like women see gynovery nice","31 Jan 2024",2
"Mazinaatese","Fuck them hoes","10 Dec 2023",4
"isai","The Snyder Cut is mentioned in this BEST PICTURE nominee.","23 Aug 2023",3
NA,"Esta película la vi con Michelle. Siento que si no hubiera ido con ella hubiera llorado en la escena en la que sale la señora, pero como no fue así, solo me salió una lagrimita.Ken me dio mucha risa, además wtf con el comercial de Chevy a media película!",NA,NA
"iloovethesmiths","Hi barbie hi KennOmg I didn't expect the movie to be like this like I expected a whole diff script I thought it gonna be like mean girls but turns put its not and talks about female rights and yea it was a good movie I'm just Ken Where I see loveShe sees a friend","31 Jan 2024",5
"Camboozled","Watched it again. It’s hilariously ridiculous. It’s dumb and it’s supposed to be dumb and people take it too seriously as some groundbreaking, feminist piece of cinema when it’s ultimately mocking the over-emphasis of gender stereotypes. It tells us to not take ourselves too seriously","31 Jan 2024",4
"sussyimposter69","Woman moment","31 Jan 2024",3
"march23","6.2","31 Jan 2024",4
"joe","mommy issues central","30 Jan 2024",4
"Peerapat Sarasak","the dance numbers!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","22 Jan 2024",3
"hare018","แม้หน้าหนังจะดูเหมือนการเซอร์วิสแฟนของเล่นบาร์บี้ แต่เนื้อเรื่องไม่ได้หวานแหว๋วอย่างที่คิด ประเด็นการเปลี่ยนแปลงของตุ๊กตาที่ชื่อบาร์บี้หลายๆตัว ที่เหมือนมีแต่ความไร้สาระ แต่ถ้าเจ้าบาร์บี้ตั้งคำถามกับตัวเองแบบยากๆล่ะ จะทำยังไง","30 Jan 2024",5
"Lee Padick","หนังบอกเล่าความเป็นจริงของมนุษย์ธรรมดาที่เหมือนเติบโตแล้วจะหลงลืมตัวตนไป ผ่านความน่ารักของบาร์บี้ เคน และเพื่อนๆของเขา","30 Jan 2024",4
"naomysilva","และถ้าขบคิดให้ดีๆ นี่มันชีวิตของพวกเราในยุคปัจจุบันเลยนะ!","31 Jan 2024",5
"saffronwhat","cried like a bitch","19 Jul 2023",4
"Rachel070","I never expected Barbie to be the freaking movie event of the decade but here we are. 2023 was a tumultuous time for the film industry with two major strikes in both the writers and actors guilds shutting down productions, to the fact that every major Hollywood blockbuster seemed to be flopping one after the other. Movies that were part of major franchises that were lucrative just a few years before, now couldn’t get more than a shrug from audiences,…","31 Jan 2024",4
"gibby14","Ser mujer es imposible","30 Jan 2024",4
NA,"such a fun movie !! a pink carpet and pink outfits and pink streamers. such a good crowd too, love",NA,NA
NA,"don’t think too hard about the flaws hehe",NA,NA
NA,"The entire movie just kinda felt like a fever dream. I really heavily doubted how this movie would play out as i expected it to just be a feminism movie with nothing really motivating the plot but I was pleasantly surprised. It tended to focus more on the comedic side to they are creating a movie about a doll while also featuring the more complex side to the barbie dolls in the real world but I am happy they told…",NA,NA
NA,"I’m just a girl having fun here",NA,NA
"HopiaExplorer","Cute and fun movie. Appreciation for Ryan Gosling's Ken","31 Jan 2024",3
"kayliemcevoy","ugh loved this night","31 Jan 2024",4
"dil","white feminism. sucks ass. issa rae ate tho.","01 Aug 2023",1
"angelitoluvs","nunca la vi en el cine hasta hace poquito en mi casa, estuvo muy cute la verdad nunca pense como podian ejecutar una historia interesante dentro de la tematica de barbie pero carga un mensaje muy importante y me parece que lo logra transmitir, disfrute","30 Jan 2024",4
"h4v3en","ESTO ES CINE","31 Jan 2024",5
"babyhoneyluv","Iconic","12 Aug 2023",5
"axe","i’m ken","30 Jan 2024",5
"wmatilda","the most beautiful thing i have ever watch","31 Jan 2024",5
"Mickey 🪲","One of the few movies that made me cry even if I wasn’t the target audience. I wish I could watch it again without knowing what happened","22 Jul 2023",5
"Josh Folan","It was great but I almost had a full-on panic attack at the top of the last scene when I thought she’d went through all that just to get dropped off at Bungalow in Santa Monica.","30 Jan 2024",4
"jacchen","I’m on a high right now ~~~ The SoundTRACK is FIREEEE ~~~~","30 Jan 2024",3
"Lea","go off I guess","10 Sep 2023",NA
"scarlett! ✯❦↶","This review may contain spoilers. I can handle the truth.","30 Jan 2024",5
"BurntNine","there is so much that i could write about this film. it truly means so so so much to me. i’ll keep this short & sweet tho, words won’t be able to portray the feelings throughout this film.","26 Jan 2024",3
"daniela","so incredibly happy that i decided to go to barbie in the cinema again, 6 months after barbie summer. this rewatch came at a time when i truly needed it, just like how the film came out and changed my life and so…","31 Jan 2024",5
"Kia","I'm Kenough, and may be part Barbie","",4
"domalexander","masterpiece.","31 Jan 2024",4
"Will Pierce","How I love being a woman","30 Jan 2024",3
"Katie Gorman","broom broom 🏎️","30 Jan 2024",3
"tmc133","Weird Barbie’s house was incredible. The production design was keen to make the aesthetic progressively messier in awesomely specific ways. I like how super weirdly formless it was and how the Matchbox 20 joke got me, but I am like the same exact age as Greta Gerwig","30 Jan 2024",5
"JoshOCo12","Dope matte paintings","28 Jul 2023",4
"jay","Entertaining but overrated. But please put America Ferrera’s monologue into mandatory nation-wide curriculum.","31 Jan 2024",5
"vehemint Mojito","Yes.","30 Jan 2024",3
"gabii91","Very VERY enjoyable time.  Perfect castings across the board","06 Jan 2024",3
NA,"how i love being a woman.. sometimes",NA,NA
NA,"Conceptually a much better film than I was expecting. However the dialogue and script is quite cringey and lackluster. File under: glad I saw it but don't ever need to think about or see this movie again.",NA,NA
NA,"acho que o filme é  legal, fala sobre temas importantes e entrega oque propõe. a trilha sonora é simplesmente perfeita, toda vez que tocava a musica da billie, eu me sentia tocada e quando tocou a musica da dua lipa, deu vontade de levantar e dançar junto com as barbie. as atuações são até que ok. única coisa que me incomodou no filme, foi a militância forçado, em certos momentos eu sentia que não era algo natural e sim comercial…",NA,NA
"starz4marlz","Allan.","31 Jan 2024",3
"Robbie Navarro","Gosling is great, but the real MVP is Rodrigo Prieto.","30 Jan 2024",2
"biaazxy","perfeito 😭te amo margot robbie!!!!","31 Jan 2024",5
"Sarxism","I’m in love with Hari Nef. And I couldn’t stop laughing at Kingsley Ben-Adir’s scream","30 Jan 2024",5
"Cerru","The only interesting thing is the double moral message of society but taking that out they made it very boring, it could have been better...","24 Aug 2023",3
"navalia <3","SUBLIME","31 Jan 2024",5
"Anthony","HBO max","31 Jan 2024",3
"vivianisvulgar","strongest part about this movie upon rewatch was the part where barbie says she wants to be the one who imagines and not just being the idea, which would have been a much more interesting plot or jumping off point.","30 Jan 2024",5
"Chloe","margot robbie is a very charming barbie. ryan gosling deserves his accolades and praise.","20 Jul 2023",3
"joshfr","my criticism with barbie is that it’s tells you everything and shows you nothing. i’m sad at the state of chick flicks.","31 Jan 2024",5
"dlrmon","Blunt but fun","31 Jan 2024",NA
"Nickmojica11","This movie is more than Kenough and more","31 Jan 2024",NA
NA,"La vi con mis primos, fue bonito por que nos invitaron Luis y Vica. Me gustó Margot Robbie, chula preciosa.La trama, si empatice, obvio, todo muy accord, pero meh, no para repetirla.",NA,NA
NA,"No notes",NA,NA
"ziizzoz","mto bom sim, mas já saturou na segunda vez q assisti","31 Jan 2024",5
"itaaaaduaflo","Me gustó, pero no superó mis expectativas","31 Jan 2024",3
"burgerqueen12","saw in theaters high and threw up. good film it threw me into a week long episode","31 Jan 2024",5
"guin","se fosse so o ryan goslin era 5 estrelas","23 Jul 2023",3
"drpepperlovr","brandi carlile and her wife singing closer to fine 😭😭😭💖","30 Jan 2024",4
"SwampOdyssey","Pretty good","29 Dec 2023",3
"chloexmilner","GIRLHOOD. This movie actually healed something in me America Ferreira is mother","31 Jan 2024",5
"karinamiranda89","Buena película pero aburrida por tanto musical se hace más larga","30 Aug 2023",3
"Drew","white savior barbie 😭","30 Jan 2024",4
"christian baldwin","fun! more fun to look at and be inspired by than an actually compelling plot. but a really beautiful message packaged with laser precision and immense delicacy and love.","30 Jan 2024",3
"Canadas","Homem é foda kkkkkkkkkkk","31 Jan 2024",4
"justinsunho","barbie is a metaphor about a girls idea of womanhood turning to reality rather than about a girl becoming a woman.","30 Jan 2024",4
"✶ sav ✶","i love this movie sm :’’)","30 Jan 2024",5
"Bri Lucero","This review may contain spoilers. I can handle the truth.","31 Jan 2024",4
"_smallz_","SUBLIME","30 Jan 2024",4
"Spencer","Michael Cera can do no wrong.","30 Jan 2024",4
"Salami Jones","ALLAN SCREAM","30 Jan 2024",5
"Matthew Welch","“I’m not used to Christian attracting so much pussy” - Erik Klee","30 Jan 2024",4
"cinema_toop","Damn near perfect film, and loved watching it and hearing Jess’s thoughts","30 Jan 2024",5
"Kevin White","“Pretty funny” - Erik Klee","30 Jan 2024",5
"kspeier","No one has ever looked as good on screen as Margot Robbie in Barbie.","21 Jul 2023",4
"imaique","I’m just pissed Ken didn’t apologize to Barbie","31 Jan 2024",1
"imnotclavell","bad pacing. cool set I guess. lots of cringe scenes","31 Jan 2024",3
"vivalovesmovies","filme do século? nãoum impacto gigantesco e uma mobilização social da sensibilidade? com certeza","30 Jan 2024",5
NA,"people who hate this movie just hate fun",NA,NA
"Quintin","I’m just Ken is gonna go down in history.","31 Jan 2024",4
"joelandersen","The worst thing about this movie is that it’s a really good movie, but the next 500 commercials disguised as movies that are currently being greenlit based on the success of Barbie won’t be.","30 Jan 2024",4
"Lena","no notes. slayed.","21 Jul 2023",5
"Francesmuak","Me pareció mas interesante la historia de los kens y aunque sea de barbie y me parece muy genial que sea una película de mujeres para mujeres, es muy feminismo gringo. Hablar sobre mi apariencia y aceptarme ya no me representa en una lucha, mi lucha no es sobre amarme y de que puedo alcanzar los mismos puestos de trabajo que un hombre, por tema personal no me sentí representada y la sentí muy gringa, pero para que la vean niñas me parece muy bien y que estén comenzando a interesarse por el feminismo.","31 Jan 2024",2
"iamwandaslove","🎀🎬💕💐💝💄🩰🩷","31 Jan 2024",5
"Yulii_QuiGu","AMEEEE","30 Jan 2024",4
"TheManderson","MOVIE EVERY DAY 30/366When this movie started with an homage to 2001: A Space Odyssey, I knew this was going to be a great time. I didn't expect the plot to take so many insane twists and turns, but I loved every second it it from beginning to end. I legitimately can't remember the last time I had laughed this hard at a movie, and I really needed it! Definitely one of the most fun movies of 2023!","30 Jan 2024",5
"charcereal","This movie isn't just about dollsIt's about society and peopleIt's the perfect counterpart of Oppenheimer movieThe people who disliked are the ones whose the movie is criticizing","31 Jan 2024",5
"ej","my ken job is pilot","31 Jan 2024",5
"Mitch Peterson","In the words of Ken, Sublime!! Glad I finally watched, definitely worth it and kind of get the Oscar snub conversation now.. interstellar got snubbed too though so it happens..","30 Jan 2024",4
"ellabragoli","beautiful movie about womanhood, girlhood, sisterhood. i love you greta, margo, america and every other woman in this film.","21 Jul 2023",5
"roxboxfox","campy, subversive, funny, edgy (in a capitalism way). wonderfully done and directed. greta outdid herself. cried almost the whole time even when i was laughing.","30 Jan 2024",2
NA,"There’s controversy that Greta Gerwig and Margot Robbie were not considered for an Oscar. And I’m sorry but I agree with the snub. I didn’t think either were revolutionary, I love the theme of the movie but it just seemed like it was still feeding into commercialism… i mean it’s Barbie. I think Will Ferrell and including the real world killed it for me. I wish they just stayed in Barbieland the entire movie.",NA,NA
"neka","entrete, critica, rosita.","31 Jan 2024",4
"jotabroxa","Ia dar 4 mas pela ice Spice no fim dou 4,5","31 Jan 2024",4
"haodyhey","Still good","30 Jan 2024",5
"moth","glorias speech is so important to me","30 Jan 2024",5
"JessMAdams10","Don’t watch this when you’re sad.","30 Jan 2024",5
"oz","I hate men","30 Jan 2024",4
"raven","Except ken","31 Jan 2024",3
"kirk","i watched this again a couple days ago, thinkin ab allan still","30 Jan 2024",4
"ChrisPBacon2020","o monólogo da america ferrera foi a única q me incomodou, tirando isso o filme é fiel a nostalgia de todas aquelas q tiveram contato com a barbie","30 Jan 2024",4
"Isobels2account","love you forever america ferrera","31 Jan 2024",5
"asmith_","Absolutely amazing movie with a good message (that I think they shove down ur the roar too much) beautiful design and great acting","30 Jan 2024",4
"Life_Is_Roblox1","cried.","30 Jan 2024",3
NA,"Sublime",NA,NA
NA,"So horrible not in theatre, but Ryan gosling caried",NA,NA
"david thorn","she may have appeared for less than a minute but ava max you ate up that number, “choose your fighter” is an instant hit for me","26 Jan 2024",5
"Mobydobbinz","A pretty fun movies that just barely wears out its welcome. Margot Robbie gives a subtle, but solid performance as Barbie, she was my favorite part. The Will Ferrell/ Matel Executive plot line sort of went off the rails (while on skates). This film feels inspired by The Brady Bunch Movie in that it seems willing to be cynical and poke fun at its subject matter, while also being endearing towards it. It was as funny and good as a movie about Barbie possible could be. Best Picture nomination is hilarious","01 Dec 2023",4
"jeffri9","Buen mensaje pero falla un poco como película.","31 Jan 2024",4
"saahxz","bom filme mas acho que","31 Jan 2024",3
"mariafioriti","Greta did very well, the film is very feminist. And I loved it","31 Jan 2024",3
"lukerman","Group score= 73.6","30 Jan 2024",3
"chaz","i wish that film bros had a fucking ounce of subtext comprehension to realize that barbie’s message is speaking to them and not against them","30 Jan 2024",5
"pablo","i’m just ken","31 Jan 2024",4
"octopussy420","This review may contain spoilers. I can handle the truth.","20 Jul 2023",4
"itssofii","i’m not going to rate this based on its cinematic qualities. i don’t care if everyone has a million reasons about how barbie is actually objectively not that great and overrated or whatever, this is MY letterbox review and i will say what i want.","31 Jan 2024",4
"danjamlog","i loved this movie. i went to go see it in the cinema and i’m glad i got the full experience because i think it deserved it. from beginning to end, i was hooked. starting…","30 Jan 2024",2
"leesoda","explaining feminism to a 5 year old. Love it","30 Jan 2024",4
NA,"It was fine, if not 20-25 minutes too long. Favorite part of the film was the story arc with America Ferrera and her character’s daughter.",NA,NA
NA,"YESSSSSSSSSS",NA,NA
"Camila Ribeiro","me deu crises existenciaisme deu felicidademe deu muita coisa","31 Jan 2024",5
"Stel","barbieland came super close to being cooler than roku city","",4
"Chimom","Mulher, homem, Chevrolet, caballo 👍","31 Jan 2024",4
"Arlo Gray","my project for this semester is learning the im just ken choreo","30 Jan 2024",3
"jmlc","Triggers my male loneliness 🥲","30 Jan 2024",4
"leeaoda","LETS GOOOOOO","30 Jan 2024",4
"luma","meh","31 Jan 2024",1
"swagnerfit","Overall good cinematography, good acting, decent humor and okay storyline. Not a very creative film tho, and personally just not my cup of tea.","30 Jan 2024",2
"Chofis555","Bien, la vería algun domingo relax dentro de unos años hasta que recuerde que han pasado años de no verla","30 Jan 2024",3
"jaydenengel","Greta, once again with a masterpiece 🤌🏼","12 Jan 2024",5
"idys","feminist so loud","28 Nov 2023",2
"Piplupmainlover","Película tan buena que me hizo escuchar billie eilish","30 Jan 2024",4
"keevinvaan3","This review may contain spoilers. I can handle the truth.","30 Jan 2024",4
"xovict","Funny, imaginative, and powerful. The whole cast puts everything into their roles. The “real-world” sequences towards the latter half did drag on a bit too long, but the film ended on a wonderful note.","31 Jan 2024",5
"Cynthia","😭💘💘","30 Jan 2024",3
"714ljt","Is pretty fun.","30 Jan 2024",4
"Trey Belzer","What a surprise- shoulda known with Greta at the helm","30 Jan 2024",4
"winterblurr","Have to say it was more fun the first time around. Feels like one where the allure wears off a touch. I haven’t seen Nyad & I’m not sure I will but kind of think maybe having Margot Robbie in the best actress race would be good? Idk tho that’s just me","01 Jan 2024",2
"playitasitlays","Fun.","30 Jan 2024",2
"Fiona","Why couldn’t it just be a summer comedy about a doll who gains sentience and comes to the real world? It’s not nearly as clever or brimming with bitting social commentary as it thinks it is. It’s reductive, and so woke as to almost come full circle back into classic sexist gender tropes of what’s feminine and what’s masculine. Okay, great soundtrack, visually pleasing, smart costume design, good pacing. But just filled with utter nonsense ideas. It’s depiction of modern American…","30 Jan 2024",5
"hun43rd","the is a movie about barbie doll. she is magnificent and he is just ken. my friend gave it three stars. it’s pretty good but some movies have been better.","30 Jan 2024",5
"Nic","great movie","31 Jan 2024",5
"ergin_","Acho que se eu não desce 5 estrelas para esse filme eu estaria mentido! Ele pode não ser o melhor filme do mundo mas é tão bem feito!!! Tudo nele é bem feito, o roteiro apesar de não ser a coisa mais elaborada já feita ainda é bom! Mas oque eu mais gostei nesse filme foi parte técnica, a cenografia e a maquiagem dos personagens extremamente plásticas me conquistaram, é um filmeque fala sobre brinquedo então essa plasticidade não poderia…","30 Jan 2024",3
"hisham666","Con barbie me pasa algo que es que me gusta la pelicula, su humor y los personajes, pero no me gusta del todo talvez porque soy hombre.","31 Jan 2024",3
NA,"The artwork,worldbuilding,characterization,music everything stands out in this movie.but still average",NA,NA
"SarahWais","The costumes and designs were amazing. I will say it had too many songs, like can we just watch a movie without 10 songs?","30 Jan 2024",3
"Peggy","Loved weird barbie’s splits and her shitting dog ahah","30 Jan 2024",3
"Alex McCarty","So…men get what they want cause women pity them? They have a feeling once, so women have to fix everything? Men ruin everything? You can’t be president if you aren’t wearing a gender-neutral outfit? Micro-macro-ism-ness-ness etc, etc, etc.","30 Jan 2024",3
"Jake_Gabor","This movie is an episode of South Park. You have to already be on their level to get what they’re really saying, but everyone enjoys it and thinks they’re in on the joke regardless.","30 Jan 2024",3
"whoiszaza","But I like South Park. And I liked…","30 Jan 2024",3
"angelina gault","Still a really fun time. I got my problems with this movie, such as the lack of subtlety with its themes and some of the scenes in the real world being a drag, but the last act brings it all back. Margot Robbie and Ryan Gosling both kill it in their roles. It's a shame that only one of them is nominated for an Oscar.","18 Jul 2023",3
"valu guevara","A world with brewski beers and margot robbie.","30 Jan 2024",5
"Anna","Cultural impact was crazy","30 Jan 2024",5
"sebas masiá","Rewatchable but so sad for no reason also I’m not much of a dance number enjoyer but the I'm just Ken dance number is Grease adjacent","31 Jan 2024",4
"Bunnyk","I LOVE BEING A WOMAN!!!!","30 Jan 2024",2
"HaleyNHK","I become more obsessed every time I watch it. I also fall deeper in love with Ryan gosling every time i watch it. I genuinely feel lucky to be alive when this came out- what. a. freaking. moment.","30 Jan 2024",5
"Jess","En unas partes me dio risa","30 Jan 2024",5
NA,"Luego me quede dormido (unrelated) next thing estaba viendo una vieja ahi mostrando el testamento de la deconstrucción femenina",NA,NA
NA,"#laVeriaDeNuevo",NA,NA
