"name","comment","date","rating"
"katherinet","I laughed so hard during it and left discussing mother-daughter relationships and the ending’s direction.","23 Jul 2023",4
"YTTERlttrbox","I still want to be a greta gerwig defender and just preach that the ending- which my girlfriend and her sister thought it was a safe way to end a movie- was what it had to be like.","23 Jul 2023",4
"Riley_Hanlan","However, I am still torn between “barbieland should’ve stayed the way it was before. Why should it be similar to our real world when it’s barbieland -…","22 Jul 2023",3
"★","Would have been better if people knew not to take crying 2 year olds into a film rated 12 in the cinema","23 Jul 2023",5
"bel","Why was this so good???","23 Jul 2023",5
"Shane Crowley","This review may contain spoilers. I can handle the truth.","22 Jul 2023",4
"Luke","Never knew I needed to see Ryan Gosling cover Matchbox Twenty.","21 Jul 2023",4
"bloke bloke","Greta Gerwig te amo Margot Robbie te amo Ryan Gosling te amo","23 Jul 2023",4
"Gabriel","Creo que nunca sali de un cine con tantas ganas de tirar el patriarcado abajo. Greta Gerwig did it again. Agarró algo culturalmente estereotipado, como es Barbie, y lo transformó en una obra maestra con un excelente significado de trasfondo.TODO en la pelicula es increible, desde el guion con sus frases icónicas, hasta el vestuario y cómo va cambiando a medida que Barbie va descubriendo el mundo.","23 Jul 2023",3
"srishti_agarwal","Incredible production design, stuffed with fun, campy profromaces and left me feeling moved and hopeful in a way only Greta Gerwig has done","23 Jul 2023",5
"sanamvini","Everyone - cinema nova","23 Jul 2023",4
"daydramin","I Beached Myself off through the whole screening","23 Jul 2023",5
"katherinet","Absolutamente todas","23 Jul 2023",4
"YTTERlttrbox","I loved this! Despite my parents both falling asleep I found it very engaging and wonderfully unpredictable. The final sequence was unexpected but perfect. Highly recommend to anyone (but if you watch it WEAR PINK)","23 Jul 2023",4
"LilBoi7","I wish the patriarchy was real...","23 Jul 2023",4
"sarah","women are so amazing 😭😭😭","23 Jul 2023",4
"9099YM","You are Ken-ough. Never forget that.","23 Jul 2023",4
"Isla","not fair that I’ll never get to watch this for the first time again","22 Jul 2023",5
"leonkennedy","War scene peak cinema","23 Jul 2023",5
"Andrew_tried","Wildly fun goofy movie","23 Jul 2023",4
"Alice","a true cinematic masterpiece 100000/10 - always remember you are kenough <3","23 Jul 2023",5
"Margo","Deserves all the hype and success it’s getting","23 Jul 2023",5
"Rafaella","dar menos que 5 estrelas é facismo","22 Jul 2023",5
"YoseEnHD","Greta Gerwig and the whole cast are the most talented people in the world. Life-changing experience. Michael Cera I fucking love you.","23 Jul 2023",5
"Chapson","Bof","23 Jul 2023",2
"malu","Para ser sincero, não gostei do filme. Ryan Gosling como Ken e Margot Robbie como Barbie foram incríveis, a direção de arte e os figurinos estavam perfeitos. Mas a história não me agradou. Eles tentaram abordar muitos assuntos diferentes, mas de uma forma superficial, sem desenvolver nenhum deles adequadamente.","23 Jul 2023",2
"LilBoi7","Minha maior crítica ao filme é que ele reforça estereótipos de gênero. Faltou sensibilidade para retratar a realidade, focaram muito em um feminismo limitado, não representando de forma real outras pessoas.","23 Jul 2023",4
"Italian chef","My The Godfather","24 Jul 2023",5
"vero","you know it was a good movie when i was in the front row, neck fully aching, and still cried at the end. needs to be more than a 5. it was perfect. greta gerwig could direct a colin robinson documentary and id still find it interesting bc she is a visionary and oh my god so much detail. greta i would die for you.","23 Jul 2023",5
"Matthew Squires","Hi Barbie!","23 Jul 2023",4
"molly loves winona","women 👚🌸💖🩰🎀💗💘👯‍♀️","23 Jul 2023",5
"chloe","SUBLIME!","23 Jul 2023",5
"Loulex","Et bien c’était vraiment cool Ryan vraiment le boss","23 Jul 2023",4
"krokanjer krokanjer","paarden","23 Jul 2023",4
"UrviSth","Transcendental feminine communal theatre experience making up for an uneven script with moments of utter brilliance and catharsis. Ryan Gosling is absolutely outstanding.","22 Jul 2023",3
"kodanita","nós mulheres 😍","23 Jul 2023",5
"Urmom0717","Super fun, surprisingly deep.","23 Jul 2023",5
"JackCapodice","We must preserve Greta Gerwig at all costs","23 Jul 2023",4
"fleur","paardjes en traantjes","23 Jul 2023",5
"sharr1","Where can I purchase depressed Barbie?","22 Jul 2023",5
"joho666","Really really good. Funny, complex, charming. If had to describe as a mixture of films it would be. But I'm a cheerleader, Lego movie, Truman show, pleasantville, Brady bunch movie.","23 Jul 2023",4
"sdetorie","greta you’ve done it again","23 Jul 2023",5
"Tinkerbell7","Questioned my existence. Thoughts to come.","23 Jul 2023",5
"Edward Garcia","This review may contain spoilers. I can handle the truth.","24 Jul 2023",5
"KHoot","i, too, am kenough <3","23 Jul 2023",4
"Cassie","Great film with a lot of style and good writing to it that I appreciate, however, I found certain elements to feel redundant or outright bizarre in relation to the real world characters.","23 Jul 2023",3
"Ana","this was so fun to watch! the part where ken yells ""SUBLIME"" was like hilarious to me. as far as nostalgic doll movies go, I don't think you can beat Bratz: The Movie though. bratz felt less ad-like to me than barbie. but this is a close 2nd!","23 Jul 2023",5
"cely222","🥺","23 Jul 2023",5
"Frankie W.","I am kenough 😔🙏🏼","22 Jul 2023",4
"caitlin","🎀💕💖🌸🌷","23 Jul 2023",5
"Soccerfan902","pink glitter all over my face by the end tbh","23 Jul 2023",3
"sharr1","Surprised at the rating. Had some highs and some lows. There was a lot of silence at jokes. However, Margot and Ryan kill their performances. Unfortunately, the script is not the best. This movie has no subtly. No show and all tell. Also, a lot of scenes are underutilized. The real world is all very dramaticized and just not enough in it. Will Ferrell and the execs are useless. The chase scene is absolutely painful. This still gets a high rating since it was still decent and makes its point, but it does not live up to the hype.","22 Jul 2023",5
"dustbunny99","This review may contain spoilers. I can handle the truth.","23 Jul 2023",2
"a☆","I don’t think this movie was made for me and that’s ok. I wanted a light hearted comedy, and I almost got it! But then about halfway through it turned into a ham fisted drama with incredibly lame dialogue. Gloria’s speech about what it’s like being a woman was (and I say this as a proud feminist and misandrist) almost too cringe to bare. I also hated the scenes with the creator of barbie? Like why was she there. Anyways, Ryan Gosling slayed as usual and the set design of barbie land was really cool.","20 Jul 2023",5
"Meghan","Nós mulheres meio barbie da margot robbie","22 Jul 2023",4
"k🍒","As mães param no tempo para que as filhas olhem para trás e percebam o quanto evoluíram.","24 Jul 2023",5
"saoirsel","SUBLIME !","23 Jul 2023",4
"lee <3","america’s monologue— THE monologue.","23 Jul 2023",5
"letmlo","Love it when men sulk like babies","23 Jul 2023",4
"tastyscallion","אלן זה הבחור שבוכה בטיקטוק על זה שלבנות יש כאבי מחזור","23 Jul 2023",4
"ruby💒","Ok…","23 Jul 2023",5
"alliteas","it was good and all but nothing beat the child in front of us who tried to sit up in their chair and face planted on the floor or something","20 Jul 2023",4
"Andrew Lammermeier","the ending was awesome!!!!!","23 Jul 2023",4
"Patrizio Capoluongo Serao","a true masterpiece on topics such as capitalism feminism and motherhood. ‘I’m just ken’ has forever altered something within my psyche","23 Jul 2023",4
"dustbunny99","Exceeded my very pessimistic expectations","23 Jul 2023",2
"a☆","This movie is KENough.","20 Jul 2023",5
"Meghan","Barbie was a fun ride albeit not perfect by any means. Barbie has a fun cast bolstered by a catchy soundtrack and colorful visuals. Ryan Gosling steals the show, of course!","22 Jul 2023",4
"k🍒","Life in plastic is fantastic 🏳️‍⚧️","24 Jul 2023",5
"Patrizio Capoluongo Serao","Life in plastic is fantastic 🏳️‍⚧️","23 Jul 2023",4
"marvinpictures_","I gained KENergy. I am literally him.","23 Jul 2023",4
"Mason DeRoche","If ken was not in this movie, it would be 2 hours of the most boring, predictable, pandering, and unfunny shit I’ve ever seen.","23 Jul 2023",2
"BigMoneyMoetroe","Now i am become Barbie, destroyer of patriarchy","23 Jul 2023",4
"denise z","margot robbie was the perfect barbie😩","23 Jul 2023",4
"Fiskar","Fuck yeah, this absolutely rocks. Probably one of the best movies I’ve recently seen in theatres. Has the same whimsical magic of a stageplay and the filmmaking chops to make this feel like an honest fucking movie. Lots of fantastic sequences, bangers, some great comedy overall, and my personal favourite, it knows when to turn the music off.","23 Jul 2023",5
"Adel Adam","Theatre was full of dickheads who took pictures with their flash on and a bunch of people I guess got bored by…","23 Jul 2023",4
"tanyya","This was a very fun movie, but I'm less impressed than I expected to be. I think between all the chatter of its ""strong/revolutionary"" politics and its old Hollywood influences, my expectations were set just a tad high.","23 Jul 2023",5
"raechabear","I do wonder what Barbie would have been if it hadn't been held back by its intended audience as well as the Mattel of it all. As is, though, in as much as I find it at best to be a very…","22 Jul 2023",5
"karolrispar","Barbie is a love letter to all the women, which Ben Shapiros of the world wouldn’t understand !!!","23 Jul 2023",5
"Frogsdaffodils","the cinematography for this one felt so different from greta gerwig's previous films which was nice to see! women did it again 🤸‍♀️🥳","23 Jul 2023",4
"Lou Cody","tudo que eu imaginei, simplesmente perfeito maravilhoso","23 Jul 2023",4
"Patrizio Capoluongo Serao","So freaking good of a movie. Honestly, watching this changed my perspective on feminity. The movie was also really great in showing what the feminine experience is like, how playing with Barbie was our escape from the mundaneness of the real world. I can't tell you how healing the movie was for queer people who felt uninvited to enjoy Barbie before. Overall, i loved this movie and I highly recommend it. Btw, the soundtrack was straight fire.","23 Jul 2023",4
"marvinpictures_","Enjoyed this ten times more upon second viewing. Who knew a film can be so good if you go in with the correct expectations ay !","23 Jul 2023",4
"cwpiester","I guess I just forgot HOW shitty Matchbox Twenty is.","23 Jul 2023",4
"Michbrown","This movie is perfect. It hit on every point it wanted to make so beautifully. I laughed, I cried. Most accurate depiction of men in any movie I’ve ever seen. Greta Gerwig is awesome. Women are awesome. Did it make me want to become a full on lesbian? Yes, and surprisingly not JUST because of Margot Robbie.","23 Jul 2023",5
"sash","i’m literally ken","23 Jul 2023",4
"fixi_1000","————-————-————-————-————-","23 Jul 2023",4
"miapoo","really funny. sharp humor and great moments throughout. really glad i didn’t watch this on the same day as oppenheimer.","23 Jul 2023",3
"gwhiz138","Meine Freundin bei fast jeder Szene von Ken:","23 Jul 2023",3
"arwent",",,Das bist sowas von du"". Ich kann ihr nicht groß widersprechen.","23 Jul 2023",5
"Riane","Einer der most relatable characters of all time.","23 Jul 2023",4
"isaro","So fun!!!! 👏👏👏👏👏","23 Jul 2023",4
"Kong Gomez de Liano","i would love to know where that scary agenda they’re trying to push into our children is. as a non-binary person, i have never felt so unseen by a movie that is said to be a feminist cultural reset (i guess i’m an allan?).","23 Jul 2023",5
"Aidendelrey","other than that, STUNNING design - smells like an oscar. and ryan gosling didn’t have to go so hard, but god bless he did.","23 Jul 2023",5
"ley","America Ferrera today. America Ferrera tomorrow.  America Ferrera forever","23 Jul 2023",4
"cwpiester","here's to an overwhelming existential crisis part 2","23 Jul 2023",5
"Michbrown","it's funny, it's meta, it hurt my head from too much nodding when agreeing with what america ferrera was saying","23 Jul 2023",4
"sash","pure innocent fun","23 Jul 2023",4
"fixi_1000","“im a man without power, does that make me a woman?”","23 Jul 2023",3
"miapoo","amazing message behind it","23 Jul 2023",3
"gwhiz138","an admirable commentary on feminism, the patriarchy, and toxic masculinity 🫶🏻","23 Jul 2023",5
"DinaCatharina","This review may contain spoilers. I can handle the truth.","23 Jul 2023",4
"Josh Frendo-Menendez","I love how they conveyed a deep message within a pink fantasy land world. It’s just sad how so many kids in the theatre just yawned and asked «how mich left?»….I love how they made barbie and ken equal, or at least more equal? ir they were going to atleast? I hope so. I liked it a lot, it showed how our society behaves. And I love how the ken’s represented women in the real world, and how women are treated. And I love that atleast in a fantasy land, the Barbies finally saw it and changed it for the better.","24 Jul 2023",3
"Zuzanna","More hollow than the reviews I saw suggested. I think that although the monologues were filled with truly beautiful sentiments and imagery, they ultimately didn't resonate fully because the themes presented weren't strongly supported by the narrative. Perhaps that is just a ""he's only a man"" moment tho because they seem to have resonated with most of the women i saw the movie with. Speaking of the narrative, the pacing was all over the place especially at the start.","23 Jul 2023",5
"velveetacheetah","The…","23 Jul 2023",3
"_joefoster","Not me going to see this again in the span of 72 hours no comment","23 Jul 2023",5
"wewitx","The Kens would’ve loved Oppenheimer.","23 Jul 2023",5
"mali","beyond blown away by a franchise so dear to my heart. Everything about it was so cleverly perfectWe should all just play with barbie’s and forget how nasty the world is 🥲","23 Jul 2023",4
"mia840","how i love being a woman 😌💅🏽","23 Jul 2023",5
"baberiel","SUBLIME!!! 4 because i’m a girl and i am barbie","23 Jul 2023",5
"plumasdecera","cinematic gold. greta gerwig has done it again. probably the best thing any woman or man could see ever. i want to be greta gerwig when i grow up.","23 Jul 2023",5
"Megg","Amazing. Perfect. What a good movie for everyone. Its’ pro men and pro women. Very good commentary on existentialism and dread. I truly have not seen another movie like it.","23 Jul 2023",5
"eu575","Quebra todas as primeiras expectativas! Muito daora, vale todo o hype","23 Jul 2023",5
"DinaCatharina","yes i cried, what abt it “mothers stand still so their daughters can look back to see how far they’ve come” i feel like gretas movies always have such a deep insight into the complexity of a mothers relationship with her daughter. and it never fails to devastate me","23 Jul 2023",4
"Josh Frendo-Menendez","There was an older woman sat next to me. She happily said hello to me before she sat down, and we cried together at the end of the movie. That’s all you need to know, really. I love women.","24 Jul 2023",3
"SleepingBody","Seeing Michael Cera was the only good part","23 Jul 2023",2
"Caleb Wiseman","can't wait for my joy and wimsy to be instantly crushed when I watch Oppenheimer tomorrow!","23 Jul 2023",4
"evie!!","gonna go so insane over this film that the joke will no longer be “this is my joker” but rather “this is my barbie”","22 Jul 2023",5
"Shravan Sakthivel","I was really excited for this for obvious reasons. Lady Bird is one of my favourite movies and seeing Greta take on an iconic character was very interesting to see. The casting of Margot and Ryan was spot on. Ryan Gosling has ridiculously good comedic timing and just cracked me up. Margot Robbie delivers a fantastic performance. Despite the very fun and enjoyable first act I felt like the movie slowed down too much and then tries to wrap it…","23 Jul 2023",3
"biancakillinger","Wasn’t expecting it to be so emotional.Definitely going to be a timeless classic.","23 Jul 2023",5
"layanardo","Hilarious, Meticulous and Gorgeous","23 Jul 2023",4
"Frank Pavich","Movie of the year.","23 Jul 2023",5
"aryannnanand","Great film. I love Ryan Gosling.","23 Jul 2023",4
"Brandon","I finally feel Kenough now.","23 Jul 2023",5
"itsarave","My expectations were sky high and Greta exceeded every single one of them. As the tweet said, deeply bizarre and anti-man in the absolute best way imaginable. The ending made me cry and then the final line was the absolute perfect joke to end on. Ryan Gosling is Kenough. I cannot wait to see this a second time","22 Jul 2023",5
"Josh Ferris","Watched this after going way too hard at DDR and felt a little too emotionally removed from the experience even when I was intellectually appreciating what was going on. So all of the following opinions have an asterisk on them until I probably see it again when i’m less tired.","23 Jul 2023",3
"Lea","Greta Gerwig reckons with Barbie as both a cultural object and as a toy with equal parts admiration and realism w/r/t its impacts and is mostly successful. However, it doesn’t…","22 Jul 2023",4
"SleepingBody","Except some minor plot holes a masterpiece. Greta Gerwig is a genius. Please never stop making movies!","23 Jul 2023",2
"azul","didn’t expect to come out of this movie facing existential dread but here we are","23 Jul 2023",4
"Maria","ryan goslings peak humor was unmatched","22 Jul 2023",5
"J","I approached this film with astronomical expectations due to the incredible trailers and the strength of the talent. I was expecting the Brady Bunch Movie, but instead, what I got was more akin to a pink-washed feature-length episode of HBO's Girls. While I enjoyed the musical moments and the playful scenes, the messages here felt like a case of preaching to the choir (I had a similar feeling watching the uber-activist musical Jagged Little Pill). The screenplay came off as…","23 Jul 2023",3
"yasmin","greta has done it again, another movie that was very upsetting to watch with my mother! (on my birthday nonetheless)","22 Jul 2023",4
"jaydennontville","I believe in Greta Gerwig supremacy💕","23 Jul 2023",5
"mamanyusufkhan","Mattel is one smart ass company.","23 Jul 2023",3
"camsuzcast","Love it! Kate McKinnon freaks me out though","23 Jul 2023",4
"aurobop","id do anything for margot robbie, thank u godess greta!","23 Jul 2023",4
"alpalpollock","Lots of thought, mostly of delight, but one initial reaction is that for some reason that last joke really made the whole thing land for me!!","22 Jul 2023",4
"sofia","was a Barbie film ever going to be actually subversive? no, but it was fun, and did make me cry a bit!","23 Jul 2023",4
"Herreraman","So... 2000 & late and just shrugs uts problematic, sexist corporate culture on the ""Sexist Everyday Man"". Nonsensical garbage, and I am truly shocked it was released in this manner. The story makes no sense whatsoever its like it was written and edited by an 8th grader. It starts off funny enough but then crosses over to a human reality that is not believable even within its own rules. The movie sets off to be a story about Barbie causing a…","23 Jul 2023",1
"wyn","at this point greta gerwig what is stopping you from directing a film with a lesbian lead","24 Jul 2023",4
"azul","watching this in a theater with almost everyone wearing pink though 🥹🥹🥹🥹🥹","23 Jul 2023",5
"Jorge Tarrab","I had so much fun. It totally exceed my expectations","21 Jul 2023",5
"julia","men should never learn things!","22 Jul 2023",4
"Ben_404","literally me","23 Jul 2023",5
"bec97","i gotta be honest… greta gerwig took an exceptionally fun concept and reduced it to a social statement that lacked nuance. i wanted to love but at some point i was questioning how a ripped up ryan gosling musical performance and otherworldly costume / set design could end up kinda boring ?","23 Jul 2023",2
"zaza00","girl power","23 Jul 2023",4
"Izzy Tarran","crying because i don’t actually have to be the most amazingly successful person on the planet, I just have to get through the day feeling kind of okay about myself","23 Jul 2023",5
"Morgan","Ryan Gosling: ''Esta es mi Mojo-Dojo Casa House''","23 Jul 2023",4
"Tom Morton","Yo: ''es literalmente yo''","23 Jul 2023",4
"karin vs. the world","Bastante disfrutable. Fácilmente pudo ser un comercial mediocre para vender muñecas, pero Greta Gerwig y Noah Baumbach le dieron alma. A ver, sí es un comercial, pero también es una historia meta y existencialista que explora roles de género y las dificultades de crecer, como no podía ser de otra con Greta Gerwig. Margot Robbie le inyecta corazón y pureza a Barbie, trasformando un papel que pudo ser…","23 Jul 2023",5
"Zac Wurfel","Pretty funny watching this the day after Pearl, since they both have people trying to escape from over-saturated worlds and solving their problems with powerful monologues. I definitely had a better time with Barbie though - it's funny, sweet and impressively moving, with a stacked cast. Is this the best use of Michael Cera since Twin Peaks: The Return? Alan spin-off movie when?","23 Jul 2023",4
"TofuChopsticks","gay daughter or horse son","23 Jul 2023",4
"dmrcr","Anyone else starting to starting to think China has sovereignty over the entire South China Sea?","23 Jul 2023",5
"Jorge Tarrab","(Context: https://twitter.com/ronfilipkowski/status/1680704577358757888?s=46&t=LEAyhv5owgDI5bBymZF9Rg)","21 Jul 2023",5
"julia","8/10 man this movie was such a rug pull. I know that I was not the target audience for this movie but this movie was genuinely entertaining not only for women but also for men. I thought this movie was just be a light hearted comedy that I could causally watch but it actually had really heartfelt moment and dealt with some serious stuff. The main Barbie played by Margot Robbie really shows her acting skills with being able to…","22 Jul 2023",4
"Ben_404","Fuck it that was even better the second time I love being a girl","23 Jul 2023",5
"dmrcr","Fuck it that was even better the second time I love being a girl","23 Jul 2023",5
"malusolano","muito bom, filme com uma mensagem otima sobre como as mulheres sao vistas pela sociedade e mesmo uma mulher perfeita como a barbie ainda se sente inferior ao ken. As mulheres podem ser e fazer tudo o que quiserem.","23 Jul 2023",5
"claire","The beginning of this made me unbelievably happy.. so much so i don’t know how to really put it in words or actually explain why. I think it’s fair to say my brain received an overbearing amount of dopamine. but i think once it started getting into theme more, i did lose that energy. i definitely still enjoyed it. i get what they were going for i feel like it could of been executed a lot better though. esp when…","23 Jul 2023",4
"George Cole","This film was a giant hug. It somehow encapsulates everything it means to be a woman while dissecting the patriarchy and how incredibly lonely we all are. Everyone was brilliant. The soundtrack was exceptional. Greta take a bow.","23 Jul 2023",4
"christianor50","The last 30 minutes of the movie were the last thing I expected to see in a barbie movie","23 Jul 2023",4
"J.M.","You are Kenough!","23 Jul 2023",4
"Kaylene Yong","Greta Gerwig's ""Barbie"" is a delightful piece of eye candy. Popping with fun pastels, packed with comedic riots, and is surprisingly heartwarming. This very rare type of film only comes out once or twice every five years. It peaked with the production design and costume design. Both Barbie (Margot Robbie) and Ken (Ryan Gosling) were oozing with chemistry — Ken ultimately stealing the show.","24 Jul 2023",4
"toycupcakelvr","What a fun watch! I was expecting something else. Indeed, a festive exploration of existentialism, consumerism, and femininity.","23 Jul 2023",5
"d_crecelius","Ok I’m convinced now Greta is a genius and I never knew I could relive my childhood dreams","22 Jul 2023",4
"JT1429","greata gerwig is a genius","23 Jul 2023",5
"neshyraj","this was really fun!","23 Jul 2023",4
"TheSinnohman","there was a lot of heart and humor that i did not expect from a barbie film but here we are. Set pieces were great, obviously. Shout out to helen mirren.","23 Jul 2023",5
"dmrcr","only thing i am iffy about is the Chevy commercial in the middle of the film, that chase sequence was funny, but also felt like it was trying to sell me a car.","23 Jul 2023",5
"malusolano","Kenough","23 Jul 2023",5
"claire","got real wacky with it. cultural moment. cinematic masterpiece.","23 Jul 2023",4
"George Cole","She's everything. He's just Oppenheimer.","23 Jul 2023",4
"TheSinnohman","She's everything. He's just Oppenheimer.","23 Jul 2023",5
"Remy7017","I would’ve liked to tweak the ending a bit. Otherwise a really fun movie that’s extremely well made and I laughed a lot","23 Jul 2023",4
"lilstar3214","i love women","23 Jul 2023",5
"s4r4hj4ne","i owe my life to greta gerwig","23 Jul 2023",5
"Alllu","Possibly the best ending ever","23 Jul 2023",5
"molly yates","SO GOOD MARGOT ROBBIE IS SO SEXY","23 Jul 2023",4
"marymurray_","Did not expect to sob at Barbie but hell did I!!! I am hesitant to write this review only the day after because I still feel like I am letting this movie cook in my brain. This is a movie I fear will get lots of backlash and misunderstood for its strong Feminist stance but I felt it beautifully explained womanhood and femininity. I took off .5 for being a little TOO on the nose with the message of the…","23 Jul 2023",4
"Alfie","This is my bible","23 Jul 2023",5
"Mads","WOMEN!!!!!!!!!!","23 Jul 2023",5
"Kaelyn","greta, girl, you’ve done it again.","23 Jul 2023",4
"tqrshi","10/10. loved it.","23 Jul 2023",5
"Chrisquindoy","it’s been four days and i have not stopped thinking about this film and the vast messages it so beautifully and hilariously delivers - all while bathed in pink!","21 Jul 2023",5
"TheSinnohman","An absolute powerhouse of a film!! The soundtrack was insane. The ending had me holding back tears. Hot ass Ryan Gosling. What more could you ask for??","23 Jul 2023",4
"MaxCussons","Toy Story meets The Matrix meets S Club Seeing Double meets Lord Of The Rings: Return Of The King meets gender politics.","23 Jul 2023",5
"kp94","Just the perfect blend of fun, cheeky, smart and celebral. The movie was exactly what I expected, and a bit more! Margot and Ryan were the perfect Barbie and Ken, with memorable moments by everyone else too.","23 Jul 2023",4
"julieta roldán","me caí saliendo del cine :)","21 Jul 2023",3
"flaea flaea","PERFEITO PERFEITO PERFEITO","23 Jul 2023",5
"aly","it was everything I ever dreamed of","23 Jul 2023",5
"ariaanazh","plot was going down a bunch of different roads but honestly so funny and it even made me…cry? defo gets good words out about feminism & society expectations for women, defo made for the girlies to giggle at (the insecure men ain’t gonna like this)","23 Jul 2023",4
"HectorRuc","I AM KENOUGH","23 Jul 2023",4
"tycostanzo","There are an overwhelming number of reasons to be terrified for the future my daughter is going to grow up in, but this movie gave me the rare opportunity to feel optimistic that she's growing up in an environment where this is the blockbuster hit of the summer.","22 Jul 2023",4
"Marta","Not to mention it's funny as hell. Loved it, front to back. Sublime!","21 Jul 2023",5
"CATA","Una maravillosa sátira respecto al patriarcado, al sexismo y al capitalismo. Una película ideal para adultos, adolescentes y niños que hace reflexionar respecto a los distintos aspectos que nos rodean y nos dejan pensando sobre lo que sucede en nuestras vidas a diario.","22 Jul 2023",4
"sam","this hit in a different way i expected","23 Jul 2023",5
"charlielist","i’m just ken 😔🤟🏽","23 Jul 2023",4
"MaxCussons","i don’t wanna exaggerate but this is one of the biggest takes on patriarchy i’ve seen in a lot of time (ps ryan gosling is amazing in this)","23 Jul 2023",5
"laays","foty (film of the year)","23 Jul 2023",5
"MagnusWild","I’m going to be honest, I don’t think think this movie was funny. Like, I think I chuckled twice and that’s about it. Now, obviously, everything from a filmmaking perspective is amazing. I just didn’t find much overall enjoyment. That being said, I do understand I’m not the target demographic and I didn’t find the film to obscenely bad or anything. If anything, I’m just glad Gerwig gets to keep doing her thing.","21 Jul 2023",3
"jamie","this was so cute & honestly hit me emotionally a lot harder than i thought it would. sooo campy, loved the set & design of barbieland!!!!","23 Jul 2023",4
"lrose1232","Sublime!","23 Jul 2023",5
"cailyn","we are all Kenough.","23 Jul 2023",4
"stargazingboy","A hilarious techno pink study on how representation or the lack thereof affects ones view on themselves. With the opening acknowledging how women were just seen as mothers and how their toys represented that same concept, until the creation of Barbie which states that you can be anything and everything! But maybe being anything and everything is a harmful concept as well? Who are we if not the description of the packaging we came from? And why is it so…","23 Jul 2023",4
"victorsummers","Watching my favorite director's biggest film yet on my birthday. Couldn't be happier.","23 Jul 2023",4
"Rosehandy","Well","23 Jul 2023",5
"Rafael ""Parker!!"" Jovine","Coming into this movie with my pink-ish shirt, I wasn’t expecting to have as much of a blast as I did. Also, I didn’t expect to see such a large crowd (there was even someone in a wheelchair, which is something I've rarely seen in my 30 years movie journey - maybe users go on a different day/time I do), and this in many ways made the experience even better as it fit the complete meta, surrealist tone of this…","23 Jul 2023",5
"kiaralgo","CINE PUCHITO PUCHITO","23 Jul 2023",4
"filmartisane","I should be arrested and put down for doubting Gerwig. Yes the heavy handed-ness and meta-ness of it is a bit off putting but to make an IP, plastic (literally) blockbuster this fun, well made and thoughtful is a feat few can achieve. Bring on Narnia.","23 Jul 2023",5
"jims","a la cantidad de gente insoportable e infeliz que esta haciendo enojar esta película y en contraparte el sentimiento de unidad que esta creando en las mujeres (amigas/madres/hijas) el evento cinematográfico del año 💋","22 Jul 2023",5
"Matt","………SUBLIME!…….","23 Jul 2023",4
"mayeeee","i knew itd be good but woooooooooooow. resonated so deeply with so much of its commentary. it was so graceful and coherent and so gloriously goofy and (actually) funny. very self-aware !!","21 Jul 2023",4
"attila","ambitious, wonderful, messy and so very successful in the good it attempted to create.","23 Jul 2023",5
"Cathedralfever","i think everyone should watch barbie :D","23 Jul 2023",4
"papayajesus","cały film myślałam o tym, że chciałabym zobaczyć roberta pattisona w roli kena...","23 Jul 2023",5
"rebeccaleahwood","Greta Gerwig, toujours une meuf sûre 👌🏻","23 Jul 2023",5
"alex","ok so i just got out of the theatre BUT I NEED TO REWATCH IT OH MY GOD THAT WAS AMAZING","23 Jul 2023",5
"gabri","i ticked all the boxes for depression barbie…","23 Jul 2023",5
"Mads","the cuntiest movie that has ever existed","23 Jul 2023",5
"Michaela Wadzinski","La peli se siente como una especie de comfort ya sea para barbie o para Ken (mas para barbie) pero como chico hubo partes de Ken que si me tocaron un poco (tetas, aceite de motor, fútbol)","22 Jul 2023",4
"yasdeswandhy","I am weird Barbie!!","23 Jul 2023",4
":0","I have no other thoughts at the moment","23 Jul 2023",3
"Matt","WOMEN.","23 Jul 2023",4
"mayeeee","I both laughed and sobbed during this movie and immediately added the I am Kenough sweatshirt to cart (express ship ofc)","21 Jul 2023",4
"nate waggoner","Fun. Some incredibly hilarious satire. Laughed genuinely 10+ times.","23 Jul 2023",3
"parks","Plot went very hard in one direction only to pivot another direction five minutes later. After the 12th pivot, it got kind of exhausting.","23 Jul 2023",3
"Macaco5","As a whole narrative, incoherent. Taken in bite size segments, incredible.","23 Jul 2023",5
"Bridget Jones","what the fuck did i watch and why is allan so literally me and why is ken jacking my style of bandana","23 Jul 2023",5
"hatdam","honorable mention:“baby’s first brush with misogyny” -jayms","23 Jul 2023",3
"Almir","Me and the boys getting our new personality from Ryan Gosling","23 Jul 2023",4
"al","I was in there cracking tf up with a theatre full of Barbies.","23 Jul 2023",4
"oonie","The problem with Barbie isn’t its neoliberal portrayal of society, -at this point, that is Hollywood’s entire modus operandi- but rather that what has always been inanimate; an object to refuge our desires and fantasies has suddenly been con-vexed to us as a reduced reality that has even been further simplified BY the neoliberal take. Barbie does not teach you how to desire when it’s entire role is both a mother and a phallus.. it would’ve been a much better…","23 Jul 2023",4
"Thomas Clarke","You can tell Baumbach was involved in the making of this movie. Always helps to have a sensible, male writer on the team to make something good something great","23 Jul 2023",3
"Sage 🙈","we need more silly films :) excited to discuss thoughts feelings emotions with everyone i’ve ever met.","23 Jul 2023",5
"abiimp3","you know it was a fun experience when people clap at the end of the movie","23 Jul 2023",4
"ceceliablu","Ironic that Ken sort’ve stole the show in Barbies own movie","23 Jul 2023",2
